Name,Might,Range,Description,SP
Dvergr Wayfinder,16,1,"Accelerates Special trigger (cooldown count-1).Enables【Canto (Dist. +2; Max ５)】 during turns 1 through 4.During turns 1 through 4, for allies within 3 rows or 3 columns centered on unit, grants Atk/Spd+4, and also, if ally's attack can trigger ally's Special, grants Special cooldown count-1 to ally before their first attack during their combat.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 5 + number of allies within 3 rows or 3 columns centered on unit × 3 (max 14), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, when Special triggers, neutralizes foe's ""reduces damage by X%"" effects from foe's non-Special skills (excluding when dealing damage with an area-of-effect Special).【Canto (Dist. +2; Max ５)】After an attack, Assist skill, or structure destruction, unit can move spaces = number of spaces from start position to end position of unit before the above, +2. (Max ５.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Kumo Yumi,4,2,"Effective against flying foes. Unit can move to a space adjacent to any ally within 2 spaces. If unit initiates combat, unit attacks twice. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd/Def/Res+4 to unit during combat.",200
Kumo Yumi+,7,2,"Effective against flying foes. Unit can move to a space adjacent to any ally within 2 spaces. If unit initiates combat, unit attacks twice. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd/Def/Res+4 to unit during combat.",300
Vafþrúðnir,9,2,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",400
Arcane Thunder,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat, and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",300
Meisterschwert,11,1,"Inflicts Spd-5. Unit attacks twice.(Even if foe initiates combat, unit attacks twice.)",400
Vicious Dagger,8,2,"If unit initiates combat, grants Atk/Spd+5 during combat and neutralizes effects that prevent unit's follow-up attacks during combat.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200
Vicious Dagger+,12,2,"If unit initiates combat, grants Atk/Spd+5 during combat and neutralizes effects that prevent unit's follow-up attacks during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Keen Gronnwolf,8,2,Effective against cavalry foes.,200
Keen Gronnwolf+,12,2,Effective against cavalry foes.,300
Obsessive Curse,14,2,Effective against cavalry foes. Inflicts Spd/Res-5 on foes within 2 spaces during combat.,400
Devoted Breath,16,1,"Accelerates Special trigger (cooldown count-1).Neutralizes ""effective against dragons"" bonuses.If foe's Range = 2, calculates damage using the lower of foe's Def or Res.For allies within 3 spaces of unit, grants Def/Res+5 and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).For allies within 3 spaces of unit, if foe initiates combat, ally's HP > 1, and foe would reduce ally's HP to 0 during combat, ally survives with 1 HP (once per turn; does not stack with non-Special effects that allow unit to survive with 1 HP if foe's attack would reduce unit's HP to 0; when any other such effect triggers, this effect will trigger too).If foe initiates combat or foe's HP ≥ 75% at start of combat, grants bonus to unit's Atk/Def/Res = 20% of unit's Res at start of combat + 5, unit deals +X damage (X = number of allies within 3 spaces of unit × 5; max 15; if unit triggers Savior, value is treated as 15; excluding area-of-effect Specials), reduces damage from foe's attacks by X (excluding area-of-effect Specials), unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials), and also, if unit's HP > 1 and foe would reduce unit's HP to 0, unit survives with 1 HP (once per combat; does not stack with non-Special effects that allow unit to survive with 1 HP if foe's attack would reduce HP to 0).",400
Ruinous Frost,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+6 to unit, inflicts Atk-6 on foe, and unit's first attack deals damage = 40% of foe's Res during combat, and also, both unit and foe cannot make a follow-up attack. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Revealing Breath,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), and reduces damage from foe's follow-up attack by 30% of unit's Res during combat (""follow-up attack"" normally means only the second strike; for effects that grant ""unit attacks twice,"" it means the third and fourth strikes). If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Witch Breath,16,1,"Grants Atk+3. At start of combat, if foe's HP ≥ 50%, grants Atk+6 to unit during combat and unit makes a guaranteed follow-up attack. At start of combat, if unit's HP ≥ 50%, inflicts Atk-6 on foe during combat and foe cannot make a follow-up attack. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Palm Staff,8,2,Inflicts Atk/Spd-3 on foes within 2 spaces during combat.,200
Palm Staff+,12,2,Inflicts Atk/Spd-5 on foes within 2 spaces during combat.,300
Florid Cane,10,1,"Enables【Canto (Rem. +1)】.At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",200
Florid Cane+,14,1,"Enables【Canto (Rem. +1)】.At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300
Gronnrabbit,8,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.",200
Gronnrabbit+,12,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.",300
Argent Aura,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, inflicts Atk/Spd/Def/Res-5 and 【Stall】on foes on the enemy team with the lowest Spd and any foes within 2 spaces of those foes. At start of combat, if foe's HP ≥ 75%, grants Atk/Res+6 to unit during combat.【Stall】If unit has ""unit can move 1 extra space,"" converts that effect into ""restricts movement to 1 space"" through its next action.",400
Silver Goblet,8,2,"Grants Def/Res+4 to allies within 2 spaces during combat against bow, dagger, magic, or staff foes.",200
Silver Goblet+,12,2,"Grants Def/Res+4 to allies within 2 spaces during combat against bow, dagger, magic, or staff foes.",300
Flame Gunbai,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit and inflicts penalty on foe's Atk/Def during combat = 20% of unit's Def at start of combat.",200
Flame Gunbai+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit and inflicts penalty on foe's Atk/Def during combat = 20% of unit's Def at start of combat.",300
Rinkah's Club,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or if unit's HP < 100% at start of combat, grants Atk/Def+5 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",400
Deliverer's Brand,16,1,"Grants Spd+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, reduces damage from foe's first attack by 40%, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat, and also, if unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, when unit's Special triggers (excluding area-of-effect Specials), neutralizes ""reduces damage by X%"" effects from non-Special skills. At start of combat, if unit's HP ≥ 25% and unit triggers the Glowing Ember, Bonfire, or Ignis Special during combat, calculates that attack's damage using the lower of foe's Def or Res.",400
Master's Tactics,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants 【Grand Strategy】to unit and allies within 2 spaces for 1 turn, inflicts Atk/Spd/Def/Res-4 on unit through its next action, and inflicts -6 on the highest and second highest stat values between Atk, Spd, Def, and Res for each ally within 2 spaces through their next actions (subtract 15 from Atk when comparing). At start of turn, if unit's HP ≥ 25%, inflicts Atk/Spd/Def/Res-3 on closest foes and foes within 3 spaces of those foes through their next actions. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Spd/Res-5 on foe during combat and foe cannot make a follow-up attack.【Grand Strategy】Grants bonus to Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2 for 1 turn. (Example: if unit has -7 penalty to Atk, grants Atk+14, for a net bonus of Atk+7.) Calculates each stat bonus independently.Unit's negative effects that last ""through unit's next action"" will remain in effect until this status (Grand Strategy) is neutralized.",400
